1,137,M75S_5_APH_REV1,6783000B61,20260706,100340,F,0,1,,FFPFFPPPPPNN,1,F,0,20260706,100334,0,,,0,0

 1, ATX_12_SP,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 1537, 1538, A1, 4.0000000  , 1
 1094, RSI35,    33.00  ,    33.00  ,  20.0,  20.0, 0, R, 750, 181, A1, 99999.9000000  , 1
 1095, RSI36,    33.00  ,    33.00  ,  20.0,  20.0, 0, R, 740, 99, A1, 99999.9000000  , 1
 1097, RSI48,    33.00  ,    33.00  ,  20.0,  20.0, 0, R, 117, 650, A1, 99999.9000000  , 1
 1099, RSI50,    33.00  ,    33.00  ,  20.0,  20.0, 0, R, 670, 114, A1, 99999.9000000  , 1
 1109, RL81,   150.00  ,   150.00  ,  20.0,  20.0, 0, R, 799, 1014, A1, 99999.9000000  , 1
 1110, RL83,   150.00  ,   150.00  ,  20.0,  20.0, 0, R, 1011, 1016, A1, 99999.9000000  , 1
 1112, RA27,  220.000K ,    9.000K ,  90.0,  90.0, 2, R, 809, 1337, A1, 2466.6660761K , 1
 1117, RA57,    75.00  ,    75.00  ,  20.0,  20.0, 0, R, 353, 411, A1, 99999.9000000  , 1
 1119, RC98,    22.00  ,    22.00  ,  20.0,  20.0, 0, R, 1305, 1191, A1, 99999.9000000  , 1
 1120, RC100,    22.00  ,    22.00  ,  20.0,  20.0, 0, R, 1305, 1191, A1, 99999.9000000  , 1
 1121, RC89,    22.00  ,    22.00  ,  20.0,  20.0, 0, R, 1181, 364, A1, 99999.9000000  , 1
 1122, RC95,    22.00  ,    22.00  ,  20.0,  20.0, 0, R, 1184, 371, A1, 99999.9000000  , 1
 1125, RHM39,    22.00  ,    22.00  ,  20.0,  20.0, 0, R, 378, 1208, A1, 99999.9000000  , 1
 1129, RLP10,    22.00  ,    22.00  ,  20.0,  20.0, 0, R, 471, 502, A1, 99999.9000000  , 1
 1131, RLP12,    22.00  ,    22.00  ,  30.0,  20.0, 0, R, 493, 495, A1, 99999.9000000  , 1
 1135, RLP16,    22.00  ,    22.00  ,  20.0,  20.0, 0, R, 476, 481, A1, 99999.9000000  , 1
 1136, RLP17,    22.00  ,    22.00  ,  20.0,  20.0, 0, R, 479, 477, A1, 99999.9000000  , 1
 1148, RSI54,    2.000K ,    6.000K ,  20.0,  20.0, 2, R, 653, 113, A1, 2466.6660761K , 1
 1151, RDP8,    1.000M ,    1.000M ,  20.0,  20.0, 2, R, 576, 412, A1, 1220.9999994M , 1
 1159, RDP40,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 1321, 910, A1, 2466.6660761K , 1
 1162, RDP23,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 414, 1440, A1, 4.0000000  , 1
 1169, RFAN10,    7.500K ,    5.000K ,  20.0,  20.0, 2, R, 576, 793, A1, 2466.6660761K , 1
 1170, RFAN19,    7.500K ,    5.000K ,  20.0,  20.0, 2, R, 576, 190, A1, 2466.6660761K , 1
 1171, RFAN20,    7.500K ,    5.000K ,  20.0,  20.0, 2, R, 576, 1131, A1, 2466.6660761K , 1
 1172, RFAN9,    7.500K ,    5.000K ,  20.0,  20.0, 2, R, 576, 677, A1, 2466.6660761K , 1
 1173, RFAN17,   15.000K ,    7.000K ,  20.0,  20.0, 2, R, 1443, 1131, A1, 2466.6660761K , 1
 1174, RFAN18,   15.000K ,    7.000K ,  20.0,  20.0, 2, R, 808, 190, A1, 2466.6660761K , 1
 1175, RFAN6,   15.000K ,    7.000K ,  20.0,  20.0, 2, R, 1445, 677, A1, 2466.6660761K , 1
 1176, RFAN8,   15.000K ,    7.000K ,  20.0,  20.0, 2, R, 1007, 793, A1, 2466.6660761K , 1
 1178, RH11,    47.00K ,    47.00K ,  20.0,  20.0, 2, R, 145, 158, A1, 18499.9994094K , 1
 1179, RH4,    47.00K ,    47.00K ,  20.0,  20.0, 2, R, 145, 159, A1, 18499.9994094K , 1
 1180, RH7,    47.00K ,    47.00K ,  20.0,  20.0, 2, R, 145, 157, A1, 18499.9994094K , 1
 1181, RH9,    47.00K ,    47.00K ,  20.0,  20.0, 2, R, 145, 711, A1, 24666.6660761K , 1
 1182, RHM54,    47.00K ,    47.00K ,  20.0,  20.0, 2, R, 576, 1322, A1, 36999.9994094K , 1
 1183, RH113,   200.00K ,   200.00K ,  20.0,  20.0, 2, R, 621, 70, A1, 184237.8349410K , 1
 1184, RH114,   200.00K ,   200.00K ,  20.0,  20.0, 2, R, 621, 68, A1, 52793.8485699K , 1
 1185, RH115,   200.00K ,   200.00K ,  20.0,  20.0, 2, R, 621, 598, A1, 52793.8485699K , 1
 1187, RH129,   200.00K ,   200.00K ,  20.0,  20.0, 2, R, 621, 630, A1, 52793.8485699K , 1
 1189, RH133,   200.00K ,   200.00K ,  20.0,  20.0, 2, R, 621, 624, A1, 184237.8349410K , 1
 1190, RH159,   200.00K ,   200.00K ,  20.0,  20.0, 2, R, 621, 82, A1, 52793.8485699K , 1
 1191, RH161,   200.00K ,   200.00K ,  20.0,  20.0, 2, R, 621, 623, A1, 52793.8485699K , 1
 1192, RH26,   200.00K ,   200.00K ,  20.0,  20.0, 2, R, 145, 154, A1, 184237.8349410K , 1
 1193, RHD14,   200.00K ,   200.00K ,  20.0,  20.0, 2, R, 910, 777, A1, 184237.8349410K , 1
 1195, RH28,    12.10K ,    12.10K ,  20.0,  20.0, 2, R, 576, 165, A1, 24419.9994094K , 1
 1211, RL82,   330.00  ,   330.00  ,  20.0,  20.0, 0, R, 1012, 1110, A1, 99999.9000000  , 1
 1213, RLP19,    2.700K ,    2.700K ,  20.0,  20.0, 0, R, 509, 19, A1, 99999.9000000K , 1
 1216, RLP22,    2.700K ,    2.700K ,  20.0,  20.0, 0, R, 502, 19, A1, 99999.9000000K , 1
 1218, RLP24,    2.700K ,    2.700K ,  30.0,  20.0, 0, R, 495, 19, A1, 99999.9000000K , 1
 1219, RLP25,    2.700K ,    2.700K ,  20.0,  20.0, 0, R, 491, 19, A1, 99999.9000000K , 1
 1220, RLP26,    2.700K ,    2.700K ,  20.0,  20.0, 0, R, 488, 19, A1, 99999.9000000K , 1
 1222, RLP28,    2.700K ,    2.700K ,  20.0,  20.0, 0, R, 481, 19, A1, 99999.9000000K , 1
 1223, RLP29,    2.700K ,    2.700K ,  20.0,  20.0, 0, R, 477, 19, A1, 99999.9000000K , 1
 1230, RSI29,   100.00  ,   100.00  ,  20.0,  20.0, 0, R, 809, 112, A1, 99999.9000000  , 1
 1239, CUS18/CUS20/CUS24/CUS83,   470.00uF,   470.30uF,  20.0,  20.0, 4, C, 576, 1105, A1, 99999.0000000uF, 1
 1240, CUS27/CUS28/CUS31/CUS85,   470.00uF,   470.30uF,  20.0,  20.0, 4, C, 576, 929, A1, 99999.0000000uF, 1
 1242, CUS66/CUS67/CUS87,   470.00uF,   470.20uF,  20.0,  20.0, 4, C, 576, 929, A1, 99999.0000000uF, 1
 1243, CUS72/CUS73/CUS88,   470.00uF,   470.20uF,  20.0,  20.0, 4, C, 576, 1041, A1, 99999.0000000uF, 1
 1257, PR38,    51.00K ,    51.00K ,  20.0,  20.0, 2, R, 576, 322, A1, 24666.6660761K , 1
 1265, RL205,    4.700K ,    2.500K ,  20.0,  20.0, 2, R, 676, 803, A1, 813.9994094K , 1
 1266, RL208,    4.700K ,    2.500K ,  20.0,  20.0, 2, R, 576, 803, A1, 813.9994094K , 1
 1273, CUS140,   330.00nF,   260.00nF,  30.0,  20.0, 0, C, 816, 274, A1, 0.0579846nF, 1
 1318, CL199,   100.00nF,   180.00nF,  20.0,  20.0, 0, C, 676, 803, A1, 0.0148817nF, 1
 1319, CL200,   100.00nF,   180.00nF,  20.0,  20.0, 0, C, 576, 803, A1, 0.0117568nF, 1
 1348, CA31,   100.00nF,   180.00nF,  20.0,  20.0, 0, C, 576, 1119, A1, 0.0321710nF, 1
 1349, CA32,   100.00nF,   180.00nF,  20.0,  20.0, 0, C, 576, 1228, A1, 0.0139595nF, 1
 1351, CA40,   100.00nF,   180.00nF,  20.0,  20.0, 0, C, 576, 1229, A1, 0.0225402nF, 1
 1352, CA41,   100.00nF,   180.00nF,  20.0,  20.0, 0, C, 576, 1230, A1, 0.0394709nF, 1
 1375, CCOM2,   100.00nF,   100.00nF,  20.0,  30.0, 0, C, 576, 1103, A1, 0.0171357nF, 1
 1401, CLP2,   100.00nF,   100.00nF,  50.0,  50.0, 0, C, 576, 19, A1, 0.0203118nF, 1
 1403, CPE3/CPE6-NP/CPE8-NP,   100.00nF,   800.00nF,  20.0,  20.0, 0, C, 576, 789, A1, 0.1447185nF, 1
 1417, CPE71,   100.00nF,   800.00nF,  30.0,  30.0, 0, C, 576, 122, A1, 0.2428181nF, 1
 1418, CPE73,   100.00nF,   100.00nF,  30.0,  30.0, 0, C, 576, 777, A1, 0.0225915nF, 1
 1425, CSI25,   100.00nF,   100.00nF,  20.0,  20.0, 0, C, 576, 670, A1, 0.0216437nF, 1
 1428, CSI36,   100.00nF,   120.00nF,  20.0,  20.0, 0, C, 653, 111, A1, 0.0133960nF, 1
 1429, CSI37,   100.00nF,   100.00nF,  20.0,  20.0, 0, C, 653, 113, A1, 0.0221303nF, 1
 1430, CSI38,   100.00nF,   180.00nF,  20.0,  20.0, 0, C, 653, 108, A1, 0.0212083nF, 1
 1431, CSI39,   100.00nF,   180.00nF,  20.0,  20.0, 0, C, 653, 110, A1, 0.0237696nF, 1
 1453, CUS30,   100.00nF,   100.00nF,  20.0,  30.0, 0, C, 576, 462, A1, 0.0270226nF, 1
 1481, PC122,   100.00nF,   100.00nF,  20.0,  30.0, 0, C, 576, 76, A1, 0.0258187nF, 1
 1488, PC15,   100.00nF,   100.00nF,  30.0,  30.0, 1, C, 576, 91, A1, 0.0196714nF, 1
 1511, PC367,   100.00nF,   100.00nF,  20.0,  20.0, 0, C, 576, 216, A1, 0.0121666nF, 1
 1523, PC94,   100.00nF,   100.00nF,  20.0,  30.0, 0, C, 576, 233, A1, 0.0207472nF, 1
 1527, CA11/CA12/CA13,     10.0uF,   1000.0uF,  20.0,  20.0, 4, C, 576, 368, A1, 99999.0000000uF, 1
 1536, CHM38/CHM40/CHM39/CHM41,    10.00uF,    18.00uF,  20.0,  20.0, 4, C, 576, 392, A1, 99999.0000000uF, 1
 1551, CC18,    10.00nF,   160.00nF,  20.0,  20.0, 0, C, 576, 745, A1, 0.0367046nF, 1
 1552, CC20,    10.00nF,   160.00nF,  20.0,  20.0, 0, C, 576, 755, A1, 0.0283288nF, 1
 1553, CHD1,    10.00nF,    10.00nF,  20.0,  20.0, 0, C, 614, 579, A1, 0.0155644nF, 1
 1554, CHD10,    10.00nF,    10.00nF,  20.0,  20.0, 0, C, 607, 582, A1, 0.0150008nF, 1
 1555, CHD11,    10.00nF,    10.00nF,  30.0,  30.0, 0, C, 599, 569, A1, 0.0139093nF, 1
 1557, CHD13,    10.00nF,    10.00nF,  20.0,  20.0, 0, C, 573, 603, A1, 0.0135404nF, 1
 1558, CHD14,   10.000nF,    8.000nF,  30.0,  30.0, 0, C, 616, 575, A1, 0.0129076nF, 1
 1564, CHD8,    10.00nF,    10.00nF,  20.0,  20.0, 0, C, 615, 581, A1, 0.0144679nF, 1
 1589, CL67,   470.00pF,   650.00pF,  20.0,  20.0, 0, C, 576, 1014, A1, 0.5470410pF, 1
 1591, CL69,   470.00pF,   650.00pF,  20.0,  20.0, 0, C, 576, 1016, A1, 0.0000000pF, 1
 1592, CL70,   470.00pF,   650.00pF,  20.0,  20.0, 0, C, 576, 1110, A1, 0.0000000pF, 1
 1599, PC39,    4.700uF,    4.000uF,  20.0,  20.0, 4, C, 1136, 576, A1, 99999.0000000uF, 1
 1602, PC406/PC407,     2.20uF,   100.00uF,  20.0,  20.0, 4, C, 1458, 1459, A1, 99999.0000000uF, 1
 1610, C7/CSI31,    2.200nF,    4.400nF,  20.0,  20.0, 0, C, 1008, 16, A1, 0.0128659nF, 1
 1621, CL236,    1.000uF,    0.800uF,  20.0,  20.0, 0, C, 576, 675, A1, 0.0001245uF, 1
 1635, PC478,     1.00uF,   100.00uF,  20.0,  20.0, 4, C, 576, 408, A1, 99999.0000000uF, 1
 1697, PC125,     1.00uF,   600.00uF,  20.0,  20.0, 4, C, 576, 417, A1, 99999.0000000uF, 1
 1711, CUS96,   100.00pF,   250.00pF,  30.0,  30.0, 0, C, 576, 1127, A1, 2.5917965pF, 1
 1712, CUS97,   100.00pF,   300.00pF,  30.0,  20.0, 2, C, 576, 1129, A1, 0.1883687pF, 1
 1722, CA44,   100.00pF,   280.00pF,  20.0,  20.0, 0, C, 576, 1347, A1, 0.3014976pF, 1
 1723, CA45,   100.00pF,   280.00pF,  20.0,  20.0, 0, C, 576, 1344, A1, 0.0000000pF, 1
 1730, CC12,   100.00pF,   120.00pF,  30.0,  30.0, 0, C, 994, 993, A1, 47.3091855pF, 1
 1731, CC287,   100.00pF,   120.00pF,  20.0,  30.0, 0, C, 1170, 1173, A1, 0.4085573pF, 1
 1735, CH83,   100.00pF,   200.00pF,  20.0,  20.0, 0, C, 576, 152, A1, 0.1575138pF, 1
 1736, CPE10,   100.00pF,   300.00pF,  30.0,  20.0, 0, C, 576, 778, A1, 0.0000000pF, 1
 1745, CSI23,   100.00pF,   370.00pF,  20.0,  20.0, 0, C, 576, 117, A1, 0.0000000pF, 1
 1763, CH3,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 73, 64, A1, 0.0251016nF, 1
 1769, CPE13,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 903, 294, A1, 0.0189286nF, 1
 1774, CPE18,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 894, 291, A1, 0.0233086nF, 1
 1775, CPE19,   220.00nF,   180.00nF,  30.0,  30.0, 0, C, 890, 289, A1, 0.0145999nF, 1
 1776, CPE20,   220.00nF,   150.00nF,  90.0,  90.0, 0, C, 890, 289, A1, 0.0149073nF, 1
 1777, CPE21,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 886, 286, A1, 0.0270993nF, 1
 1778, CPE22,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 885, 287, A1, 0.0193641nF, 1
 1779, CPE23,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 884, 892, A1, 0.0165722nF, 1
 1780, CPE24,   220.00nF,   150.00nF,  90.0,  90.0, 0, C, 883, 889, A1, 0.0290718nF, 1
 1781, CPE25,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 879, 284, A1, 0.0123459nF, 1
 1782, CPE26,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 878, 285, A1, 0.0151377nF, 1
 1784, CPE28,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 873, 283, A1, 0.0189798nF, 1
 1786, CPE30,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 876, 282, A1, 0.0237184nF, 1
 1787, CPE31,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 866, 278, A1, 0.0140108nF, 1
 1788, CPE32,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 865, 280, A1, 0.0219511nF, 1
 1791, CPE35,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 857, 279, A1, 0.0258444nF, 1
 1792, CPE36,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 856, 861, A1, 0.0202862nF, 1
 1794, CPE38,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 854, 276, A1, 0.0206960nF, 1
 1796, CPE41,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 847, 264, A1, 0.0252552nF, 1
 1797, CPE42,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 846, 265, A1, 0.0216180nF, 1
 1798, CPE43,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 843, 263, A1, 0.0357570nF, 1
 1799, CPE44,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 842, 262, A1, 0.0185444nF, 1
 1800, CPE44,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 842, 262, A1, 0.0209009nF, 1
 1803, CPE65,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 660, 773, A1, 0.0094515nF, 1
 1811, CSD20,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 29, 35, A1, 0.0131912nF, 1
 1821, CUS134,   220.00nF,   180.00nF,  30.0,  30.0, 0, C, 819, 1039, A1, 0.0246149nF, 1
 1822, CUS135,   220.00nF,   180.00nF,  30.0,  30.0, 0, C, 821, 273, A1, 0.0191591nF, 1
 1827, CUS159,   220.00nF,   160.00nF,  90.0,  90.0, 0, C, 302, 814, A1, 0.0409053nF, 1
 1897, CSD57,    1.000nF,    1.310nF,  20.0,  20.0, 0, C, 576, 202, A1, 0.0000000nF, 1
 1922, CFAN1,    10.00pF,   320.00pF,  20.0,  20.0, 2, C, 576, 1444, A1, 0.0025706pF, 1
 1923, CFAN10,    10.00pF,   450.00pF,  20.0,  20.0, 2, C, 576, 808, A1, 0.0000000pF, 1
 1924, CFAN13,    10.00pF,   300.00pF,  20.0,  20.0, 2, C, 576, 1442, A1, 0.2231111pF, 1
 1925, CFAN14,    10.00pF,   450.00pF,  20.0,  20.0, 2, C, 576, 1443, A1, 0.0000000pF, 1
 1926, CFAN2,    10.00pF,   450.00pF,  20.0,  20.0, 2, C, 576, 1445, A1, 0.0000000pF, 1
 1928, CFAN6,    10.00pF,   450.00pF,  20.0,  20.0, 2, C, 576, 1007, A1, 0.0000000pF, 1
 1929, CFAN9,    10.00pF,   280.00pF,  80.0,  80.0, 2, C, 576, 930, A1, 0.0290964pF, 1
 1997, CHM54,   100.00nF,   100.00nF,  20.0,  20.0, 0, C, 576, 1211, A1, 0.0364229nF, 1
 2012, CSD60,   100.00nF,   100.00nF,  20.0,  30.0, 0, C, 576, 431, A1, 0.0170332nF, 1
 2013, CSD61,   100.00nF,   100.00nF,  20.0,  30.0, 0, C, 576, 764, A1, 0.0273300nF, 1
 2033, CPE72,    1.000uF,    0.781uF,  35.0,  30.0, 0, C, 910, 122, A1, 0.0002123uF, 1
 2068, CDP13,   100.00nF,   100.00nF,  30.0,  30.0, 0, C, 413, 409, A1, 0.0161879nF, 1
 2069, CDP14,   100.00nF,   100.00nF,  30.0,  30.0, 0, C, 415, 410, A1, 0.0224634nF, 1
 2092, CHM32,   100.00nF,   100.00nF,  30.0,  30.0, 0, C, 1188, 335, A1, 0.0178016nF, 1
 2102, FB12,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 391, 336, A1, 4.0000000  , 1
 2104, FB2,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 576, 653, A1, 4.0000000  , 1
 2261, PC50/PC49/PC48/PC18-NP/PC51,  560.000mF,    1.142mF,  20.0,  20.0, 4, C, 576, 1046, A1, 99.9990000mF, 1
 2272, DUS12,    0.700V ,    0.700V ,  80.0,  80.0, 0, D, 576, 1127, A1, 2.0457770V , 1
 2273, DUS13,    0.768V ,    0.768V ,  80.0,  80.0, 0, D, 576, 1129, A1, 2.1140203V , 1
 2276, D2,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 576, 16, A1, 4.0000000  , 1
 2278, D4,    0.627V ,    0.627V ,  90.0,  90.0, 0, D, 576, 1102, A1, 1.9718750V , 1
 2279, D5,    0.627V ,    0.627V ,  90.0,  90.0, 0, D, 576, 1099, A1, 1.9723818V , 1
 2285, DUS10,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1041, 576, A1, 4.0000000  , 1
 2288, DUS4,    0.000V ,    8.000V ,  10.0,  20.0, 0, D, 576, 1029, A1, 9.9931588V , 1
 2292, DUS9,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 576, 929, A1, 4.0000000  , 1
 2293, D13,    0.767V ,    0.767V ,  20.0,  20.0, 1, D, 2, 427, A1, 2.1100507V , 1
 2295, DCOM2,    0.677V ,    0.677V ,  20.0,  20.0, 0, D, 910, 1103, A1, 2.0256757V , 1
 2299, DCOM8,    0.674V ,    0.674V ,  20.0,  20.0, 0, D, 427, 1104, A1, 2.0204392V , 1
 2300, D59,    0.000V ,    1.710V ,  20.0,  20.0, 0, D, 1315, 146, A1, 3.0565878V , 1
 2302, D15,    0.334V ,    0.334V ,  20.0,  20.0, 0, D, 131, 53, A1, 1.6789696V , 1
 2304, D17,    0.334V ,    0.334V ,  20.0,  20.0, 0, D, 132, 53, A1, 1.6786318V , 1
 2337, D53,    0.332V ,    0.332V ,  10.0,  10.0, 0, D, 85, 214, A1, 1.6788851V , 1
 2338, D54,    0.328V ,    0.328V ,  10.0,  10.0, 0, D, 85, 728, A1, 1.6740709V , 1
 2344, DA13,    0.607V ,    0.607V ,  90.0,  90.0, 0, D, 576, 1344, A1, 1.9524493V , 1
 2358, DA6,    0.782V ,    0.782V ,  20.0,  20.0, 0, D, 1120, 147, A1, 2.1286318V , 1
 2359, DA7,    0.788V ,    0.788V ,  20.0,  20.0, 0, D, 1123, 147, A1, 2.1328547V , 1
 2362, FB4,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 576, 16, A1, 4.0000000  , 1
 2363, FB5,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 576, 439, A1, 4.0000000  , 1
 2367, LA1,    0.000H ,    1.610H ,  20.0,  20.0, 1, L, 1120, 123, A1, 15.6231530H , 1
 2368, LA2,    0.000H ,    1.610H ,  20.0,  20.0, 1, L, 1123, 123, A1, 13.9043003H , 1
 2383, PC509/CC177/CC178/CC179/CC180/,  820.000mF,    4.694mF,  20.0,  20.0, 4, C, 576, 1409, A1, 99.9990000mF, 1
 2388, PC131/CC246/CC247/CC248/CC249/,  820.000mF,    1.206mF,  20.0,  20.0, 4, C, 576, 1357, A1, 99.9990000mF, 1
 2397, PC27/PC22/PC43/PC23/PC44/PC24/,   270.00uF,   562.40uF,  20.0,  20.0, 4, C, 576, 1133, A1, 99999.0000000uF, 1
 2422, Q12,    0.626V ,    0.626V ,  10.0,  10.0, 0, Q, 576, 372, A1, 1.9717905V , 1
 2432, Q4,    0.000V ,    0.700V ,  20.0,  20.0, 0, D, 576, 1102, A1, 2.0455236V , 1
 2433, Q5,    0.000V ,    0.700V ,  20.0,  20.0, 0, D, 576, 1099, A1, 2.0451858V , 1
 2440, Q10,    0.720V ,    0.720V ,  20.0,  20.0, 0, D, 1, 576, A1, 2.0654561V , 1
 2445, QA7,    0.000V ,    1.500V ,  20.0,  20.0, 0, Q, 394, 147, A1, 2.8461993V , 1
 2450, QA9,    0.000V ,    0.700V ,  20.0,  20.0, 0, D, 809, 1337, A1, 2.0452703V , 1
 2452, QN1,    1.373V ,    0.300mA,  90.0,  90.0, 5, D, 1008, 100, A1, 0.0027872mA, 1
 2457, PQ7-SD,    0.700V ,    0.700V ,  20.0, 200.0, 0, D, 576, 91, A1, 2.0456926V , 1
 2458, PQ8-SD,    0.700V ,    0.700V ,  20.0,  20.0, 0, D, 576, 192, A1, 2.0451014V , 1
 2466, PQ27-SD,    1.000V ,    0.710V ,  20.0,  20.0, 0, D, 576, 233, A1, 2.0554054V , 1
 2470, PQ36-SD,    1.000V ,    0.700V ,  20.0,  20.0, 0, D, 576, 76, A1, 2.0450169V , 1
 2472, PQ41-SD,    1.000V ,    0.700V ,  20.0,  20.0, 0, D, 576, 1359, A1, 2.0455236V , 1
 2475, PQ42-DSG,     1.00  ,   145.00  ,  20.0,  20.0, 28, QF, 1106, 576, A1, 6794.3884892  , 1
 2478, PQ49-DSG,     1.00  ,   125.00  ,  20.0,  20.0, 28, QF, 1010, 576, A1, 6685.8407080  , 1
 2482, PQ53-SD,    1.000V ,    0.700V ,  20.0,  20.0, 0, D, 576, 671, A1, 2.0456926V , 1
 2483, PQ54-DSG,     1.00  ,   120.00  ,  20.0,  20.0, 28, QF, 211, 576, A1, 6347.7310924  , 1
 2484, PQ55-DSG,     1.00  ,   120.00  ,  20.0,  20.0, 28, QF, 275, 576, A1, 6931.9266055  , 1
 2496, QDP6B-SD,    1.000V ,    0.600V ,  20.0,  20.0, 0, D, 576, 1316, A1, 1.9470439V , 1
 2503, QDP9B-SD,    1.000V ,    0.600V ,  20.0,  20.0, 0, D, 576, 1321, A1, 1.9477196V , 1
 2507, Q11B-SD,    1.000V ,    0.700V ,  20.0,  20.0, 0, D, 576, 1356, A1, 2.0445946V , 1
 2530, PQ3-SD,    0.700V ,    0.700V ,  20.0,  20.0, 0, D, 576, 1043, A1, 2.0450169V , 1
 2531, PQ9-SD,    1.000V ,    0.500V ,  40.0,  40.0, 0, D, 1044, 672, A1, 1.8444257V , 1
 2532, PQ32-SD,    0.236V ,    0.236mA,  20.0,  20.0, 5, D, 621, 1046, A1, 0.0030405mA, 1
 2533, PQ19-SD,    1.000V ,    1.000mA,  20.0,  20.0, 5, D, 560, 1046, A1, 0.0030405mA, 1
 2534, PQ5-SD,    1.000V ,    1.000mA,  20.0,  20.0, 5, D, 910, 1045, A1, 0.0032939mA, 1
 2536, DLP2,    0.667V ,    0.667V ,  20.0,  20.0, 0, D, 427, 19, A1, 2.0161318V , 1
 2537, DDP3:3-1,    0.795V ,    0.795V ,  10.0,  10.0, 0, D, 576, 415, A1, 2.1432432V , 1
 2538, DDP3:3-2,    0.797V ,    0.797V ,  10.0,  10.0, 0, D, 576, 413, A1, 2.1426520V , 1
 2539, DDP3:3-4,    0.797V ,    0.797V ,  10.0,  10.0, 0, D, 576, 1440, A1, 2.1429054V , 1
 2540, DDP3:3-5,    0.796V ,    0.796V ,  10.0,  10.0, 0, D, 576, 412, A1, 2.1429054V , 1
 2542, DL5:3-1,    0.635V ,    0.635V ,  10.0,  10.0, 0, D, 576, 1017, A1, 1.9817568V , 1
 2543, DL5:3-2,    0.635V ,    0.635V ,  10.0,  10.0, 0, D, 576, 1023, A1, 1.9819257V , 1
 2544, DL5:3-4,    0.635V ,    0.635V ,  10.0,  10.0, 0, D, 576, 1018, A1, 1.9816723V , 1
 2545, DL6:3-1,    0.635V ,    0.635V ,  10.0,  10.0, 0, D, 576, 1019, A1, 1.9818412V , 1
 2546, DL6:3-2,    0.636V ,    0.636V ,  10.0,  10.0, 0, D, 576, 1009, A1, 1.9816723V , 1
 2547, DL6:3-4,    0.635V ,    0.635V ,  10.0,  10.0, 0, D, 576, 1020, A1, 1.9815878V , 1
 2548, DL6:3-5,    1.000V ,    0.610V ,  20.0,  20.0, 0, D, 1025, 576, A1, 1.9576014V , 1
 2555, DHM2:3-4,    0.740V ,    0.740V ,  20.0,  20.0, 0, D, 576, 1332, A1, 2.0891892V , 1
 2556, DHM2:3-5,    0.721V ,    0.721V ,  20.0,  20.0, 0, D, 576, 1333, A1, 2.0694257V , 1
 2557, DHM3:3-1,    0.737V ,    0.737V ,  20.0,  20.0, 0, D, 576, 1325, A1, 2.0837838V , 1
 2560, DHM3:3-5,    0.721V ,    0.721V ,  20.0,  20.0, 0, D, 576, 1331, A1, 2.0696791V , 1
 2561, DHM4:2-1,    0.751V ,    0.751V ,  20.0,  20.0, 0, D, 576, 1334, A1, 2.0989865V , 1
 2562, DHM4:2-3,    0.699V ,    0.699V ,  20.0,  20.0, 0, D, 576, 1329, A1, 2.0455236V , 1
 2563, UUS7:2-1,    0.770V ,    0.770V ,  20.0,  20.0, 0, D, 576, 915, A1, 2.1185811V , 1
 2564, UUS7:2-3,    0.752V ,    0.752V ,  20.0,  20.0, 0, D, 576, 916, A1, 2.0994932V , 1
 2565, UUS7:2-4,    0.754V ,    0.754V ,  20.0,  20.0, 0, D, 576, 1032, A1, 2.0989020V , 1
 2566, UUS7:2-5,    1.000V ,    1.000mA,  20.0,  20.0, 5, D, 576, 913, A1, 0.0032095mA, 1
 2567, UUS7:2-6,    1.000V ,    0.700V ,  20.0,  20.0, 0, D, 576, 1028, A1, 2.0451014V , 1
